Prénom,Nom de famille,Temps entré,Temps sorti,Nom complet
Boubakar Dit Kiki,Kouyate,1691938800000,0,Boubakar Dit Kiki Kouyate
Christopher,Jullien,1691938800000,0,Christopher Jullien
Arnaud Dominique,Nordin,1691943831720,0,Arnaud Dominique Nordin
Akor Jerome,Adams,1691938800000,1691944320280,Akor Jerome Adams
Mousa Mohammad Mousa,Sulaiman Al Tamari,1691938800000,0,Mousa Mohammad Mousa Sulaiman Al Tamari
Wahbi,Khazri,1691938800000,1691943831680,Wahbi Khazri
Teji Tedy,Savanier,1691938800000,1691943944800,Teji Tedy Savanier
Jordan,Ferri,1691938800000,1691944300200,Jordan Ferri
Joris,Chotard,1691938800000,0,Joris Chotard
Leo,Leroy,1691944300320,0,Leo Leroy
Sepe Elye,Wahi,1691944320320,0,Sepe Elye Wahi
Khalil,Fayad,1691943944920,0,Khalil Fayad
Lucas,Mincarelli Davin,1691944814720,0,Lucas Mincarelli Davin
Falaye,Sacko,1691938800000,0,Falaye Sacko
Gautier,Lloris,1691938800000,0,Gautier Lloris
Oussama,Targhalline,1691938800000,0,Oussama Targhalline
Loic,Nego,1691938800000,1691943865720,Loic Nego
Yassine,Kechta,1691943865800,0,Yassine Kechta
Nabil,Alioui,1691938800000,1691943336120,Nabil Alioui
Daler,Kuzyaev,1691938800000,1691944804720,Daler Kuzyaev
Rassoul,Ndiaye,1691938800000,1691943887320,Rassoul Ndiaye
Andy Elysee,Logbo,1691943343920,0,Andy Elysee Logbo
Antoine,Joujou,1691943336200,0,Antoine Joujou
Yoann,Salmier,1691938800000,0,Yoann Salmier
Josue,Casimir,1691938800000,0,Josue Casimir
Samuel,Grandsir,1691943887400,0,Samuel Grandsir
Issa,Soumare,1691938800000,1691943343880,Issa Soumare
Arouna,Sangante,1691938800000,0,Arouna Sangante
Abdoulaye,Toure,1691944804800,0,Abdoulaye Toure
Benjamin Pascal,Lecomte,1691938800000,0,Benjamin Pascal Lecomte
Arthur,Desmas,1691938800000,0,Arthur Desmas
